46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,46,46,46,46,46,46,46,46,46,46,46,46,47,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,14,15,14,14,14,14,14,15
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
-1,201,202,201,202,201,202,-1,-1,-1,-1,-1,-1,-1,-1,201,202,201,202,201,202,201,202,201,202,201,202,201,202,201,202,201,202,201,202,201,202,201,202,201,202,-1,-1,-1,201,202,201,202,201,202,201,202,201,202,201,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
205,217,218,217,218,217,218,-1,-1,-1,-1,-1,-1,-1,-1,217,218,217,218,217,218,217,218,217,218,217,218,217,218,217,218,217,218,217,218,217,218,217,218,217,218,-1,-1,-1,217,218,217,218,217,218,217,218,217,218,217,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
221,233,234,233,234,233,234,201,202,-1,-1,-1,-1,202,-1,233,234,233,234,233,234,233,234,233,234,233,234,233,234,233,234,233,234,233,234,233,234,233,234,233,234,-1,-1,-1,233,234,233,234,233,234,233,234,233,234,233,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
-1,249,250,249,250,249,250,217,218,-1,-1,-1,217,218,-1,249,250,249,250,249,250,249,250,249,250,249,250,249,250,249,250,249,250,249,250,249,250,249,250,249,250,-1,-1,-1,249,250,249,250,249,250,249,250,249,250,249,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
203,-1,-1,-1,-1,-1,-1,233,234,-1,-1,-1,233,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
219,-1,-1,-1,-1,-1,-1,249,250,-1,-1,-1,249,250,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196,197,198,196,197,198,196,197,198,196,197,198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
30,31,-1,-1,-1,-1,-1,201,202,-1,-1,-1,201,202,-1,-1,-1,-1,-1,-1,-1,16,17,18,19,20,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,212,213,214,212,213,214,212,213,214,212,213,214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
30,31,-1,-1,-1,-1,-1,217,218,-1,-1,-1,217,218,-1,-1,-1,-1,-1,-1,-1,32,33,34,35,36,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,228,229,230,228,229,230,228,229,230,228,229,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15
